fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
9,Exxon Mobil,@exxonmobil,1719352750733930977,Tue Oct 31 13:56:54 +0000 2023,"Nothing spooky here – just us launching our methane monitoring balloon.  👻

Learn more about how we're taking #technology to new heights.  🚀 https://t.co/wSDrO6afcz https://t.co/seIG0Ajew5",https://x.com/exxonmobil/status/1719352750733930977,8,21,46,4,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1717899050815508908,Fri Oct 27 13:40:25 +0000 2023,"📢 Q3 ‘23 $XOM earnings are in! We delivered another strong quarter. Read the details at the link below. 
👉 https://t.co/3dLEGDgLsB https://t.co/Wj3yLbRkYX",https://x.com/exxonmobil/status/1717899050815508908,8,22,44,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1717534162322616504,Thu Oct 26 13:30:29 +0000 2023,"📆 Tomorrow at 7:30 a.m. CDT. 
Join our 3Q 2023 $XOM earnings call.
Sign-up 👉 https://t.co/8JQmBPwwgp",https://x.com/exxonmobil/status/1717534162322616504,7,19,34,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1717220699994001886,Wed Oct 25 16:44:53 +0000 2023,"Did you know the US Gulf Coast is becoming a leader in the effort to scale up CO₂ solutions for industry?  

We’re making plans to deploy low-carbon #hydrogen and #carboncapture and storage for multiple Gulf Coast sites, including our own. Take a look. 

https://t.co/ulZWWLK0yY https://t.co/u8kIwNgZsa",https://x.com/exxonmobil/status/1717220699994001886,10,21,37,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1716817297384567118,Tue Oct 24 14:01:55 +0000 2023,"Net zero is a destination. And ExxonMobil is focused on the road ahead. 

We’re part of a @gti_energy-led effort to create a blueprint for a hydrogen highway: a network of lower-emission fueling stations from California to Texas. https://t.co/Nuxh0wNpuR https://t.co/IkOYCeAemf",https://x.com/exxonmobil/status/1716817297384567118,8,53,60,3,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1715010365866590614,Thu Oct 19 14:21:49 +0000 2023,"""If we're going to make meaningful impact on climate, in a timeframe that can make a difference, the only way to get there is through partnerships such as this one.""
 
Here's a look at our carbon sequestration project in Louisiana with @CFIndustries. https://t.co/yYktzacSBz https://t.co/4mNKGwfqYK",https://x.com/exxonmobil/status/1715010365866590614,8,26,42,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1714657658677116942,Wed Oct 18 15:00:17 +0000 2023,"Our very own Nitish Mittal has received the AIChE's 35 Under 35 Award. 

Congratulations Nitish! https://t.co/5BRHMucEo4 https://t.co/E6iIFh8U9X",https://x.com/exxonmobil/status/1714657658677116942,2,12,29,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1714303585503125522,Tue Oct 17 15:33:19 +0000 2023,“The energy transition is a global challenge – it’s not one size fits all.”  Learn more about how we’re scaling solutions for industry: https://t.co/SfIiOfrxMy https://t.co/RtCP8vXsfV,https://x.com/exxonmobil/status/1714303585503125522,7,15,25,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1712076054259503219,Wed Oct 11 12:01:54 +0000 2023,"We’re accelerating our Upstream Portfolio!

Today, we entered into a definitive agreement to acquire Pioneer, a large oil and gas exploration company with more than 850,000 net acres in the Midland Basin. Learn more here: https://t.co/HZWaz2l9Mv https://t.co/PQON9jKWyt",https://x.com/exxonmobil/status/1712076054259503219,11,38,94,6,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1710720170740547952,Sat Oct 07 18:14:07 +0000 2023,"When it comes to performance, you get out what you put in.

Congratulations to Max Verstappen on his third consecutive World Drivers’ Championship and @redbullracing &amp; Red Bull Technology on its second consecutive #F1 Constructor’s Cup! https://t.co/FWNxyjxlkt",https://x.com/exxonmobil/status/1710720170740547952,8,27,50,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1709974601466249361,Thu Oct 05 16:51:29 +0000 2023,"👋Meet Kathy Mikells, our Chief Financial Officer and one of our Senior VPs. We're proud to announce Kathy has been included on @FortuneMagazine's 2023 list of the most powerful women in business! 

Congratulations Kathy! #womencfo #leadership #energysupply https://t.co/KuRFKRSKae",https://x.com/exxonmobil/status/1709974601466249361,14,15,57,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1707394872263520669,Thu Sep 28 14:00:34 +0000 2023,"Our carbon capture alliance with @MHI_Group aims to make the technology widely used and more cost-effective. 
We're working together to accelerate a net-zero future. Learn more: https://t.co/HEIVK3ZavB https://t.co/ZiI6RKwziX",https://x.com/exxonmobil/status/1707394872263520669,11,22,30,3,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1707032700995948622,Wed Sep 27 14:01:25 +0000 2023,"Let's deliver industry with low emissions. 
We're developing emission reducing technologies in our operations and deploying them with businesses like yours, too. 
Learn more: https://t.co/231FcANlwg https://t.co/LResTv5xCM",https://x.com/exxonmobil/status/1707032700995948622,9,20,28,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1706686245819007012,Tue Sep 26 15:04:44 +0000 2023,"""We're helping accelerate the world's path to net zero 𝗔𝗡𝗗 we're building a compelling new business,"" says Dan Ammann, President, ExxonMobil Low Carbon Solutions.
 
""It’s going to be an exciting and high-impact time ahead."" 

https://t.co/kIZTDw6WBb https://t.co/uk4D8AH1pe",https://x.com/exxonmobil/status/1706686245819007012,4,15,27,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1704873693514494092,Thu Sep 21 15:02:18 +0000 2023,"🆕 This week we announced the startup of two new chemical production units at our manufacturing facility in Baytown, Texas.
 
That means we can now do even more to meet demand for high-value materials used to make products that society depends on. 

https://t.co/9tLsPVaON7 https://t.co/7tlRwQB17r",https://x.com/exxonmobil/status/1704873693514494092,5,20,46,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1704613507214299392,Wed Sep 20 21:48:24 +0000 2023,"Who’s ready to triple earnings? Our Product Solutions business. That’s who.

➡️ See how. https://t.co/0Yi0Wd69tw https://t.co/TFrwfPfOp2",https://x.com/exxonmobil/status/1704613507214299392,2,11,24,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1704185177969229895,Tue Sep 19 17:26:23 +0000 2023,"🤔 What happens to captured CO₂?
🤨 Where is the CO₂ stored?
🧐 Is there enough capacity? 

Questions about #carboncapture and storage? We have answers. 

https://t.co/y1VMKfI3VG https://t.co/UzHJdy9XBu",https://x.com/exxonmobil/status/1704185177969229895,5,9,26,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1703026473261469761,Sat Sep 16 12:42:06 +0000 2023,"So much more goes into winning a car race than simply ""going fast.""

When the @OfficialWRC mandated a switch to #biofuels, we developed and supplied @TGR_WRC with a game-changing formula in record time. 🏆🏆🏆 

Here's how.

https://t.co/5E07vS5bzT https://t.co/sOROUAomYX",https://x.com/exxonmobil/status/1703026473261469761,13,17,26,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1702682954739151034,Fri Sep 15 13:57:05 +0000 2023,"Real projects. Real solutions. Our SVP of Low Carbon Solutions, Matt Crocker, got real with hosts Peter Tertzakian and Jackie Forrest in the latest episode of the ARC Energy Ideas industry podcast: Podcasts | ARC Energy Research Institute (https://t.co/wlXPpYE436) https://t.co/Lj2IKAlFaN",https://x.com/exxonmobil/status/1702682954739151034,12,10,20,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1699847082775814510,Thu Sep 07 18:08:20 +0000 2023,"It’s essential to deploy new technologies and repurpose existing infrastructure to meet society’s #netzero goals.

This shift can drive long-term #energy security and economic growth with fewer emissions.

It can be done. 

It’s being done.

Learn more: https://t.co/xXzNzrUXgW https://t.co/YdxijhPWjo",https://x.com/exxonmobil/status/1699847082775814510,14,14,33,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1697282442162213250,Thu Aug 31 16:17:22 +0000 2023,"📉 We are reducing our own emission intensity. And helping other industrial companies reduce theirs.

With $17B behind our strategic #lowcarbon push from 2022 through 2027, we're meeting society’s needs as we strengthen the resiliency of our portfolio.

https://t.co/Veov0O9RdS https://t.co/1yKP7835Ez",https://x.com/exxonmobil/status/1697282442162213250,17,20,49,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1696896535894630616,Wed Aug 30 14:43:55 +0000 2023,"Take the entire global economy – and add another one. That’s our view on how global markets are likely to evolve by 2050.

Read what Chris Birdsall, our Director of Energy and Economics, thinks about our society’s 2050 future 👉 
https://t.co/SeGQzptTMj",https://x.com/exxonmobil/status/1696896535894630616,6,10,22,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1696176021089722820,Mon Aug 28 15:00:51 +0000 2023,"Our Global Outlook is out now! Here are the top 3 takeaways 👇👇👇
https://t.co/VcOjAnADUE https://t.co/ucC5oYgCK6",https://x.com/exxonmobil/status/1696176021089722820,8,23,48,7,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1694046727706235142,Tue Aug 22 17:59:48 +0000 2023,"Carbon capture and storage could help the city of Houston achieve its goal of becoming #CarbonNeutral by 2050.
 
Here’s how we’re working to help make this happen. 🌎 
https://t.co/OF8dN9Gczi https://t.co/4Qq12lJ24i",https://x.com/exxonmobil/status/1694046727706235142,10,16,40,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1692210817217835050,Thu Aug 17 16:24:33 +0000 2023,"We're proud to announce our safety standards and work with first responders has been awarded the Norman Mineta Excellence in Transportation Safety Award from @NAofSFM.

Training first responders on HazMat liquid and CO₂ pipelines is how we provide awareness to the community. https://t.co/E5tiNgWtU8",https://x.com/exxonmobil/status/1692210817217835050,9,11,27,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1691464792190709762,Tue Aug 15 15:00:07 +0000 2023,"We are building the capability to deliver:

⛽ lower-emission fuels
🪨 carbon capture and storage
💧 lower-emission hydrogen

And as we lead through the energy transition, our workforce will transition, too — applying their talent to meet new objectives.
https://t.co/GPVrpMgQFt https://t.co/ShBuVWeawt",https://x.com/exxonmobil/status/1691464792190709762,15,14,37,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1689660794202357761,Thu Aug 10 15:31:40 +0000 2023,"The molecules we produce are used to make a range of products essential to modern life, including medical equipment and electronics.

Here's how we're helping reduce the CO₂ footprint of all the consumer products made from them.

https://t.co/TdVRqlvKdd https://t.co/zv81yTTqDx",https://x.com/exxonmobil/status/1689660794202357761,10,12,26,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1688936440615288832,Tue Aug 08 15:33:21 +0000 2023,"Carbon capture and storage (CCS):

1️⃣ The technology captures CO₂ before it reaches the atmosphere. 
2️⃣ It stores that CO₂ deep underground, permanently.
3️⃣ Experts agree we need it to combat climate change. 

 We’re scaling up #CCS. See what sets us apart: https://t.co/VRmFPURgrF",https://x.com/exxonmobil/status/1688936440615288832,7,22,59,4,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1687116317302870016,Thu Aug 03 15:00:49 +0000 2023,"Hydrogen is the most abundant element on earth.

And because hydrogen fuel is versatile - and produces no emissions at point-of-use, #hydrogen can play a big role helping society meet its net-zero goals. https://t.co/opoVoK4S7c",https://x.com/exxonmobil/status/1687116317302870016,19,20,54,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1686754024387751936,Wed Aug 02 15:01:12 +0000 2023,"Our 2030 emission-reduction plans are intensity based. They focus on driving industry-leading performance while still meeting the needs of society.
 
📉 Here's a look at our progress to date. https://t.co/TdVRqlvKdd https://t.co/sQBQAPL8L9",https://x.com/exxonmobil/status/1686754024387751936,7,14,24,0,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1684923304119873536,Fri Jul 28 13:46:34 +0000 2023,"📢Q2 ‘23 $XOM earnings are in! The work we’ve been doing to improve our underlying profitability is reflected in our Q2 results, which doubled from what we earned in a comparable industry commodity price environment* just 5 years ago.

See the details 👉: https://t.co/26YnSoVExZ https://t.co/a5nyeJWMc9",https://x.com/exxonmobil/status/1684923304119873536,12,20,39,5,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1684911927225401345,Fri Jul 28 13:01:22 +0000 2023,RT @WSJ: Exxon and Chevron together added $14 billion in profits to their cash piles and have signaled they’re not finished shopping for po…,https://x.com/exxonmobil/status/1684911927225401345,0,20,0,0,false,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1684892731196276736,Fri Jul 28 11:45:05 +0000 2023,Exxon and Chevron together added $14 billion in profits to their cash piles and have signaled they’re not finished shopping for potential acquisitions https://t.co/tr4BJoC2t0,https://x.com/exxonmobil/status/1684892731196276736,5,20,32,4,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1684579523940220930,Thu Jul 27 15:00:31 +0000 2023,"📅 Tomorrow at 7:30 a.m. CDT

We’re announcing our 2Q 2023 $XOM earnings. Join our earnings call at 7:30 a.m. CDT here: https://t.co/dEyQgNwxZv",https://x.com/exxonmobil/status/1684579523940220930,6,15,37,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1682057961211047936,Thu Jul 20 16:00:43 +0000 2023,"💨 wind energy is growing, and more than ever, lubricants are critical. 
 
Because many wind farms are located in remote areas, facing extreme conditions, operators need high-performance lubricants.. 
 
Delivering that competitive edge is our specialty.

https://t.co/V3IO2DxGy7 https://t.co/MOLfo6pKH9",https://x.com/exxonmobil/status/1682057961211047936,9,15,23,2,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
9,Exxon Mobil,@exxonmobil,1681353929727131669,Tue Jul 18 17:23:09 +0000 2023,"🔮 Years of foresight

💲Billions in investments 

👷‍♀️👷‍♂️👷 Thousands of scientists and engineers to plan, build and operate the complex infrastructure for producing oil and gas 

See how we're expanding #energysupply from Guyana. 
https://t.co/M7zMwlr20T https://t.co/IBayABfMOF",https://x.com/exxonmobil/status/1681353929727131669,7,14,25,1,true,false,,2026-06-12T19:12:43.619415+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,@exxonmobil,https://x.com/exxonmobil,primary,1
